department,link,location,name
CNTT - Phần mềm,https://1900.com.vn/tong-quan/cong-ty-tnhh-codelynx-software-services-2451,Hồ Chí Minh,CodeLynx
Giáo dục / Đào tạo,https://1900.com.vn/tong-quan/cong-ty-co-phan-student-life-care-2434,Hà Nội,"STUDENTLIFECARE.,JSC"
Du học,https://1900.com.vn/tong-quan/van-phong-dai-dien-swag-soft-llp-tai-thanh-pho-ho-chi-minh-2382,Hồ Chí Minh,Swag Soft
Bưu chính viễn thông,https://1900.com.vn/tong-quan/cong-ty-tnhh-hoozing-hoozing-company-2374,Hồ Chí Minh,Hoozing Company
Bất động sản,https://1900.com.vn/tong-quan/yakson-beauty-4118,Quảng Ninh,Yakson Beauty
Y tế / Chăm sóc sức khỏe,https://1900.com.vn/tong-quan/sybsy-ltd-11693,Hồ Chí Minh,SYBSY Ltd.
Dệt may / Da giày / Thời trang,https://1900.com.vn/tong-quan/cong-ty-co-phan-colliers-viet-nam-2191,Hà Nội,COLLIERS VIỆT NAM
Bất động sản,https://1900.com.vn/tong-quan/cong-ty-co-phan-wala-10856,Hà Nội,WALA
CNTT - Phần mềm,https://1900.com.vn/tong-quan/cong-ty-cpdt-an-duong-binh-my-9803,Hồ Chí Minh,An Dưỡng Bình Mỹ
Y tế / Chăm sóc sức khỏe,https://1900.com.vn/tong-quan/cong-ty-co-phan-vnp-group-1950,Hà Nội,VNP Group
Quảng cáo / Đối ngoại / Truyền Thông,https://1900.com.vn/tong-quan/cong-ty-co-phan-duoc-pham-sk-5965,Hà Nam,Dược Phẩm SK
Dược phẩm,https://1900.com.vn/tong-quan/cong-ty-tnhh-cong-nghe-nccsoft-viet-nam-3991,Hà Nội,NCCSOFT VIỆT NAM
CNTT - Phần mềm,https://1900.com.vn/tong-quan/repu-digital-8489,Hà Nội,Repu Digital
Tư vấn,https://1900.com.vn/tong-quan/trung-tam-bao-hanh-one-5853,Hồ Chí Minh,Trung Tâm Bảo Hành One
CNTT - Phần mềm,https://1900.com.vn/tong-quan/cong-ty-tnhh-jgc-viet-nam-1355,Hà Nội,JGC
Dầu khí,https://1900.com.vn/tong-quan/cong-ty-tnhh-one-arrow-consulting-viet-nam-2055,Thái Nguyên,One Arrow
Nhân sự,https://1900.com.vn/tong-quan/cong-ty-co-phan-nosafood-2530,Hồ Chí Minh,NOSAFOOD
Thực phẩm & Đồ uống,https://1900.com.vn/tong-quan/cong-ty-co-phan-tap-doan-ivi-14514,Hà Nội,Tập Đoàn IVI
Y tế / Chăm sóc sức khỏe,https://1900.com.vn/tong-quan/cong-ty-co-phan-nova-education-group-12572,Hồ Chí Minh,Nova Education Group
Giáo dục / Đào tạo,https://1900.com.vn/tong-quan/cong-ty-tnhh-kl-technologies-10357,Hà Nội,KL Technologies
Bất động sản,https://1900.com.vn/tong-quan/cong-ty-co-phan-tap-doan-the-ky-583,Hà Nội,Tập đoàn Cengroup
Điện / Điện tử / Điện lạnh,https://1900.com.vn/tong-quan/cong-ty-tnhh-aladdin-vina-16365,Hà Nội,Aladdin Vina
Sản xuất / Vận hành sản xuất,https://1900.com.vn/tong-quan/anta-southeast-asia-15941,Hà Nội,Anta Southeast Asia
Kiến trúc,https://1900.com.vn/tong-quan/cong-ty-tnhh-tu-van-kien-truc-tli-ha-noi-9386,Hà Nội,TLI Hà Nội
Sản xuất / Vận hành sản xuất,https://1900.com.vn/tong-quan/cong-ty-tnhh-dunlopillo-10246,Bình Dương,Dunlopillo (Vietnam) Ltd
Thương mại điện tử,https://1900.com.vn/tong-quan/cong-ty-tnhh-tmdv-va-cong-nghe-lattehub-17309,Hà Nội,Lattehub
Dệt may / Da giày / Thời trang,https://1900.com.vn/tong-quan/un-available-ltd-co-2955,Hồ Chí Minh,Un-Available LTD Co
Quảng cáo / Đối ngoại / Truyền Thông,https://1900.com.vn/tong-quan/cong-ty-tnhh-zei-group-869,Hà Nội,ZEI GROUP
Vận chuyển / Giao nhận / Kho vận,https://1900.com.vn/tong-quan/cargotrans-7554,Hà Nội,Cargotrans
Chăn nuôi / Thú y,https://1900.com.vn/tong-quan/cong-ty-tnhh-fusion-group-4599,Hà Nội,Fusion Group
Giáo dục / Đào tạo,https://1900.com.vn/tong-quan/weset-english-center-cong-ty-tnhh-weset-english-center-2751,Hồ Chí Minh,WESET English Center
Bất động sản,https://1900.com.vn/tong-quan/cong-ty-co-phan-tap-doan-zogroup-4521,Hà Nội,Tập đoàn Zogroup
Dệt may / Da giày / Thời trang,https://1900.com.vn/tong-quan/cong-ty-co-phan-may-hai-anh-17904,Hải Dương,May Hải Anh
CNTT - Phần mềm,https://1900.com.vn/tong-quan/cong-ty-co-phan-woay-6070,Hồ Chí Minh,Woay
Trung tâm Ngoại ngữ,https://1900.com.vn/tong-quan/cong-ty-co-phan-dich-vu-va-dia-oc-dat-xanh-mien-bac-4773,Hà Nội,Đất xanh miền Bắc
Bất động sản,https://1900.com.vn/tong-quan/cong-ty-co-phan-tap-doan-thoi-trang-melyavn-3510,Hà Nội,Thời Trang MELYA
Dệt may / Da giày / Thời trang,https://1900.com.vn/tong-quan/st-united-15966,Đà Nẵng,ST UNITED
Bất động sản,https://1900.com.vn/tong-quan/cong-ty-cp-tap-doan-roup-2675,Hà Nội,VNG
CNTT - Phần mềm,https://1900.com.vn/tong-quan/cong-ty-cp-tap-doan-nexttech-1833,Hà Nội,Tập đoàn NextTech
Cơ khí / Ô tô / Tự động hóa,https://1900.com.vn/tong-quan/cong-ty-tnhh-mtv-seen-mien-nam-6402,Hồ Chí Minh,SEEN
CNTT - Phần mềm,https://1900.com.vn/tong-quan/cong-ty-tnhh-mtv-ung-dung-cong-nghe-va-dich-vu-truyen-thong-au-lac-alta-media-12052,Hồ Chí Minh,MTV Ứng Dụng Công Nghệ Và Dịch Vụ Truyền Thông Âu Lạc (Alta Media)
Kỹ thuật,https://1900.com.vn/tong-quan/cong-ty-tnhh-pirago-viet-nam-6484,Hà Nội,CÔNG TY TNHH PIRAGO VIỆT NAM
CNTT - Phần mềm,https://1900.com.vn/tong-quan/adnovum-1800,Hồ Chí Minh,Adnovum
CNTT - Phần mềm,https://1900.com.vn/tong-quan/cong-ty-co-phan-cong-nghe-ucall-6626,Hà Nội,UCALL
Quảng cáo / Đối ngoại / Truyền Thông,https://1900.com.vn/tong-quan/cong-ty-tnhh-truyen-thong-tam-nhin-cong-4819,Hà Nội,TRUYỀN THÔNG TẦM NHÌN CỘNG - EYEPLUS MEDIA
CNTT - Phần mềm,https://1900.com.vn/tong-quan/cong-ty-co-phan-giai-phap-cong-nghe-moss-6868,Hà Nội,Tech Moss
Dược phẩm,https://1900.com.vn/tong-quan/cong-ty-tnhh-thiet-bi-y-te-phuong-dong-3826,Hà Nội,Công ty Thiết bị y tế Phương Đông
Xuất nhập khẩu,https://1900.com.vn/tong-quan/cong-ty-tnhh-ken-logistics-4754,Hà Nội,KEN LOGISTICS
Giáo dục / Đào tạo,https://1900.com.vn/tong-quan/cong-ty-cp-nhan-luc-quoc-te-hoang-minh-9768,Hồ Chí Minh,Nhân Lực Quốc Tế Hoàng Minh
CNTT - Phần mềm,https://1900.com.vn/tong-quan/siamp-co-ltd-14557,Hồ Chí Minh,Siamp
Sản xuất / Vận hành sản xuất,https://1900.com.vn/tong-quan/cong-ty-tnhh-hoya-lens-viet-nam-1654,Bình Dương,Công ty Hoya Lens
Dược phẩm,https://1900.com.vn/tong-quan/cong-ty-co-phan-tap-doan-viet-an-2291,Hồ Chí Minh,TẬP ĐOÀN VIỆT AN
