Sqft,Floor,Bedroom,Living.Room,Bathroom,Price
1177.698,2.0,2.0,2.0,2.0,62000.0
2134.8,5.0,4.0,2.0,2.0,78000.0
1138.56,5.0,2.0,2.0,1.0,58000.0
1458.78,2.0,3.0,2.0,2.0,45000.0
967.776,11.0,3.0,2.0,2.0,45000.0
1127.886,11.0,4.0,2.0,2.0,148000.0
1352.04,5.0,3.0,2.0,1.0,58000.0
757.854,5.0,1.0,0.0,1.0,48000.0
1152.792,10.0,3.0,2.0,2.0,45000.0
1423.2,4.0,4.0,2.0,2.0,65000.0
668.904,4.0,1.0,1.0,1.0,31000.0
711.6,4.0,2.0,1.0,1.0,29002.0
1352.04,9.0,4.0,2.0,2.0,39000.0
818.34,4.0,2.0,2.0,1.0,48000.0
2134.8,10.0,3.0,2.0,2.0,55000.0
2768.124,6.0,3.0,2.0,2.0,100000.0
711.6,5.0,2.0,2.0,1.0,48000.0
462.54,5.0,1.0,1.0,1.0,25000.0
2739.66,6.0,3.0,2.0,2.0,90000.0
1174.14,3.0,3.0,2.0,1.0,33000.0
2490.6,19.0,5.0,3.0,4.0,140000.0
2768.124,6.0,3.0,2.0,2.0,100000.0
747.18,7.0,2.0,2.0,1.0,55000.0
1668.702,4.0,3.0,2.0,2.0,105000.0
3664.74,19.0,3.0,2.0,3.0,200000.0
1779.0,10.0,4.0,2.0,2.0,98000.0
3664.74,19.0,3.0,2.0,3.0,200000.0
3059.88,21.0,4.0,2.0,3.0,145000.0
533.7,3.0,1.0,1.0,1.0,25000.0
853.92,6.0,2.0,1.0,1.0,24028.0
1732.746,8.0,4.0,2.0,2.0,65000.0
1245.3,10.0,3.0,0.0,0.0,85000.0
2134.8,10.0,3.0,2.0,2.0,55000.0
1206.162,7.0,2.0,2.0,1.0,57000.0
861.036,5.0,2.0,2.0,1.0,46000.0
462.54,3.0,1.0,1.0,1.0,52000.0
434.076,5.0,2.0,2.0,1.0,43500.0
768.528,4.0,3.0,2.0,2.0,60000.0
3735.9,19.0,3.0,2.0,3.0,200000.0
889.5,6.0,3.0,2.0,1.0,36000.0
3063.438,21.0,5.0,2.0,4.0,145000.0
925.08,10.0,2.0,1.0,1.0,48000.0
1174.14,2.0,3.0,2.0,2.0,36000.0
1352.04,1.0,4.0,2.0,2.0,65000.0
1771.884,7.0,4.0,2.0,2.0,70000.0
1601.1,6.0,4.0,2.0,2.0,50000.0
1487.244,2.0,2.0,2.0,2.0,47999.0
2277.12,2.0,3.0,2.0,2.0,80000.0
3735.9,19.0,3.0,2.0,3.0,200000.0
711.6,4.0,2.0,1.0,1.0,24030.0
2241.54,7.0,4.0,2.0,2.0,76000.0
1494.36,1.0,2.0,2.0,2.0,70000.0
711.6,2.0,2.0,2.0,1.0,32500.0
889.5,2.0,2.0,2.0,1.0,30032.0
4643.19,1.0,5.0,4.0,4.0,180000.0
2191.728,2.0,3.0,2.0,2.0,80000.0
640.44,5.0,1.0,1.0,1.0,36000.0
1067.4,12.0,3.0,2.0,2.0,36000.0
640.44,2.0,2.0,2.0,1.0,29032.0
1362.714,1.0,3.0,2.0,2.0,43000.0
604.86,6.0,2.0,1.0,1.0,30000.0
889.5,2.0,4.0,1.0,1.0,32000.0
1423.2,5.0,3.0,2.0,2.0,45000.0
1184.814,2.0,3.0,2.0,2.0,49000.0
391.38,5.0,1.0,1.0,1.0,27500.0
426.96,5.0,1.0,1.0,1.0,23000.0
1067.4,4.0,3.0,2.0,1.0,33500.0
533.7,2.0,2.0,1.0,1.0,26000.0
462.54,6.0,1.0,1.0,1.0,27500.0
1270.206,6.0,3.0,2.0,2.0,50000.0
889.5,8.0,2.0,1.0,1.0,25000.0
1284.438,6.0,3.0,2.0,2.0,41000.0
1892.856,2.0,4.0,2.0,3.0,90000.0
996.24,2.0,3.0,2.0,1.0,26000.0
711.6,4.0,2.0,2.0,1.0,38000.0
1754.094,3.0,3.0,2.0,2.0,75000.0
2063.64,7.0,3.0,2.0,1.0,56000.0
1522.824,5.0,4.0,2.0,2.0,40000.0
1540.614,6.0,4.0,2.0,2.0,89900.0
914.406,2.0,2.0,2.0,1.0,37000.0
1558.404,5.0,4.0,2.0,2.0,48800.0
772.086,6.0,2.0,1.0,1.0,39000.0
711.6,8.0,2.0,2.0,1.0,45000.0
747.18,5.0,2.0,2.0,2.0,50000.0
1227.51,5.0,3.0,1.0,2.0,45000.0
1451.664,2.0,3.0,3.0,2.0,46000.0
3255.57,4.0,4.0,2.0,4.0,130000.0
1779.0,7.0,4.0,2.0,2.0,60000.0
1892.856,2.0,4.0,2.0,3.0,78000.0
2312.7,7.0,4.0,2.0,2.0,70000.0
1992.48,5.0,3.0,2.0,2.0,70000.0
2063.64,5.0,4.0,2.0,2.0,70000.0
1529.94,2.0,2.0,2.0,2.0,49800.0
2145.474,5.0,4.0,2.0,2.0,79999.0
2170.38,5.0,4.0,2.0,2.0,60000.0
1771.884,4.0,4.0,2.0,2.0,57000.0
1956.9,6.0,4.0,2.0,2.0,66000.0
1743.42,3.0,4.0,2.0,2.0,75000.0
1707.84,13.0,2.0,2.0,2.0,55000.0
2063.64,5.0,4.0,2.0,2.0,70000.0
2366.07,2.0,3.0,2.0,2.0,75000.0
1814.58,2.0,3.0,2.0,2.0,60000.0
2938.908,2.0,4.0,2.0,2.0,95000.0
3173.736,3.0,3.0,2.0,3.0,150000.0
2917.56,8.0,4.0,2.0,2.0,150000.0
1786.116,3.0,4.0,2.0,3.0,98000.0
3202.2,12.0,5.0,3.0,3.0,80000.0
583.512,6.0,1.0,2.0,1.0,33000.0
2099.22,7.0,4.0,2.0,2.0,55000.0
2063.64,7.0,2.0,2.0,2.0,80000.0
2099.22,7.0,4.0,2.0,2.0,52000.0
